Termo,Definição Técnica,Linguagem Simples
Norma técnica,"Documento estabelecido por consenso e emitido por um organismo reconhecido, que fornece para uso comum e repetido, regras, diretrizes ou características para produtos, serviços, bens, pessoas, processos ou métodos de produção, cujo cumprimento não é obrigatório. Pode também tratar de terminologia, símbolos, requisitos de embalagem, marcação ou rotulagem aplicáveis a um produto.","Documento que fornece regras, diretrizes ou características para produtos, serviços, bens, pessoas, processos ou métodos de produção, cujo cumprimento não é obrigatório. Pode também tratar de terminologia, símbolos, requisitos de embalagem, marcação ou rotulagem aplicáveis a um produto. As normas técnicas brasileiras são elaboradas pela Associação Brasileira de Normas Técnicas."
OIML,Fórum internacional de Metrologia Legal que congrega mais de 100 (cem) países e emite “recomendações” e “documentos” elaborados por comitês específicos e que são aprovados pelos países-membros..,É o organismo internacional responsável por obter consensos e estabelecer diretrizes técnicas para a metrologia legal. O Inmetro é o representante brasileiro.
Organismo de Avaliação da Conformidade,Organismo que realiza os serviços de avaliação de conformidade.,"Laboratório, organismo de certificação ou de inspeção, com competência reconhecida pelo Inmetro para realizar serviços de avaliação da conformidade."
Órgão Delegado,"Instituição pública nacional, federal, estadual ou municipal, integrante da RBMLQ-I, conveniada com o Inmetro.","Instituição pública integrante da Rede Brasileira de Metrologia Legal e Qualidade do Inmetro (RBMLQ-I), a ele conveniada, para realizar atividades de fiscalização e verificação metrológica."
Partes interessadas,"Pessoa ou organização que pode influenciar, ser influenciada por, ou sentir-se influenciado por uma decisão ou atividade.","São pessoas, empresas, instituições públicas ou privadas e associações que representam setores da sociedade e que podem ser impactados por um problema ou por uma regulação do Inmetro."
Produto pré-medido,"Produto pré-medido é aquele que é embalado e medido sem a presença do consumidor e que se encontra em condições de comercialização. Dentre os produtos pré-medidos podemos destacar produtos de limpeza, materiais de higiene pessoal e gêneros alimentícios.","É todo produto comercializado que foi embalado e medido na ausência do consumidor, como os produtos alimentícios, de limpeza e de higiene pessoal. Também pode ser chamado de produto pré-embalado."
Programa Brasileiro de Etiquetagem (PBE),"O Programa Brasileiro de Etiquetagem (PBE), coordenado pelo Inmetro, fornece informações sobre o desempenho dos produtos, considerando atributos como a eficiência energética, o ruído e outros critérios que podem influenciar a escolha dos consumidores que, assim, poderão tomar decisões de compra mais conscientes.","Programa do Inmetro que avalia a eficiência energética de produtos elétricos, veículos e edificações por meio do mecanismo de etiquetagem. De acordo com os resultados alcançados, os produtos são classificados em faixas de desempenho (geralmente de A a E) e estes resultados são divulgados aos consumidores por meio da Etiqueta Nacional de Conservação de Energia (Ence)."
Rastreabilidade metrológica,"Propriedade de um resultado de medição pela qual tal resultado pode ser relacionado a uma referência através de uma cadeia ininterrupta e documentada de calibrações, cada uma contribuindo para a incerteza de medição.",É uma cadeia contínua de calibrações que permite relacionar o resultado de uma medição diretamente ao sistema internacional de unidades.
RBMLQ-I,"Conjunto de Órgãos Delegados e Superintendências do Inmetro responsáveis pela execução das atividades de competência do Inmetro. É o braço executivo do Inmetro em todo o território brasileiro, incumbindo-se das verificações e inspeções relativas aos instrumentos de medição e às medidas materializadas regulamentadas, da fiscalização da conformidade dos produtos e do controle da exatidão das indicações quantitativas dos produtos pré-medidos, de acordo com a legislação em vigor.","É o conjunto de órgãos federais, estaduais e municipais conveniados com o Inmetro para realizar atividades de fiscalização e verificação metrológica. A RBMLQ-I é composta por 26 órgãos delegados, sendo 23 órgãos da estrutura dos governos estaduais, um órgão municipal, e duas superintendências do Inmetro."
Registro de objeto,"Ato pelo qual o Inmetro, na forma da lei, autoriza, condicionado à existência de Atestado da Conformidade no campo compulsório, a utilização do Selo de Identificação da Conformidade e a comercialização do objeto.","Comparação entre os valores de um instrumento de medição e os valores estabelecidos por padrões, sob condições específicas."
Regulamento Técnico da Qualidade (RTQ),Denominação atribuída por uma Regulamentação Técnica do Inmetro quando associada a um Programa de Avaliação da Conformidade.,"Documento que define os requisitos técnicos que o produto, processo, serviço ou sistema deve atender."
Regulamento Técnico Metrológico,"Os Regulamentos Técnicos Metrológicos são documentos de cumprimento obrigatório que estabelecem os requisitos técnicos e metrológicos a que devem satisfazer os instrumentos de medição, as mercadorias pré-embaladas, os processos e os métodos relacionados à metrologia legal, incluindo as disposições administrativas aplicáveis.","Documentos, de cumprimento obrigatório, que estabelecem os requisitos técnicos e metrológicos que instrumentos, produtos, processos e métodos sujeitos à metrologia legal devem satisfaz."
Requisitos de avaliação da conformidade,"Documento que contém requisitos específicos aplicáveis à avaliação da conformidade de um determinado objeto aos requisitos estabelecidos pela base normativa, complementando os Regulamentos Gerais de Avaliação da Conformidade (RGAC).",Documento que contém o conjunto de regras pré-estabelecidas (procedimentos de avaliação da conformidade) que devem ser seguidas pelo Organismo de Avaliação da Conformidade para assegurar que o produto ou serviço atende aos requisitos estabelecidos e dar maior confiança para a sociedade.
SBAC,"O SBAC é um subsistema do Sistema Nacional de Metrologia, Normalização e Qualidade Industrial (Sinmetro). No âmbito do Sinmetro, as atividades de metrologia científica e legal, avaliação da conformidade, acreditação de organismos e de laboratórios, e normalização são tratadas integradamente.",É um subsistema do Sinmetro que atua nas questões relativas à avaliação da conformidade.
Selo de Identificação da Conformidade,"Forma de atestar a conformidade, que informa o foco do Programa de Avaliação da Conformidade (saúde, segurança, meio ambiente, desempenho), bem como o campo de aplicação (voluntário ou compulsório), e evidencia que o objeto avaliado está em conformidade com os critérios estabelecidos em RAC, RGAC, na Portaria Inmetro nº 274/2014 e nas suas substitutivas, bem como no Manual de Aplicação de Selos de Identificação da Conformidade do Inmetro.","Popularmente conhecido como “selo do Inmetro”, é a identificação visual que evidencia que o objeto passou pelo processo de avaliação da conformidade e está de acordo com as regras."
Sinmetro,"O Sinmetro é um sistema brasileiro, constituído por entidades públicas e privadas, que exercem atividades relacionadas com metrologia, normalização, qualidade industrial e certificação da conformidade.","É um sistema constituído por entidades públicas e privadas responsável por formular e executar a política nacional de metrologia, normalização e avaliação da conformidade."
Supervisão metrológica,"Supervisão em metrologia legal é o conjunto de atividades desenvolvidas pelo Inmetro que possui como objetivo avaliar se estão sendo observadas as leis e os regulamentos metrológicos, bem como se as atividades de metrologia legal estão sendo realizadas em conformidade com as diretrizes estabelecidas pelo Inmetro.",Atividade do controle metrológico legal que consiste em checar se as leis e os regulamentos metrológicos estão sendo cumpridos.
Tomada pública de subsídios,"É o meio do processo de participação e controle social utilizado para debater matéria regulatória nas fases iniciais de elaboração da proposta, no qual o interessado pode encaminhar contribuições por escrito sobre o assunto, em período determinado.","Procedimento de participação social usado para coletar dados, informações, documentos e evidências sobre um tema. Esses materiais são úteis em estudos do Inmetro para possíveis criações ou alterações de normas que afetam a sociedade."
Valor de referência,Valor duma grandeza utilizado como base para comparação com valores de grandezas da mesma natureza.,Valor de uma grandeza utilizado como base para comparação com valores de grandezas da mesma natureza.
Verificação da conformidade,"Modalidade de acompanhamento no mercado, que consiste na realização de ensaios em amostras do objeto regulamentado.",Ensaios em amostras de produtos retiradas do mercado para verificar se elas mantêm os requisitos declarados.
Verificação de um instrumento de medição,A verificação de um instrumento de medição consiste na execução de procedimentos para observar se o instrumento em uso conserva as características do modelo aprovado e se seus erros de medição estão dentro dos limites permitidos pela regulamentação técnica.,Procedimento para confirmar que o instrumento de medição satisfaz as exigências regulamentares. A verificação pode ser:
Verificação por amostragem,"Verificação de um lote homogêneo de instrumentos de medição, baseada nos resultados do exame de um número estatisticamente apropriado de exemplares tomados aleatoriamente de um lote identificado.","É a verificação feita em uma amostra de instrumentos de medição, a fim de avaliar características como tamanho, dimensão e erros de medição. A amostra tem um número apropriado de exemplares iguais, de forma que os resultados possam ser considerados para todo o lote."
