Termo,Definição técnica,Definição simples,Linguagem simples
Croqui,"Croqui é o projeto/desenho de um imóvel. Pode designar tanto a localização de um terreno no espaço (“croqui de localização do imóvel”), quanto uma edificação e suas características, como área, cômodos, posição no lote etc (“croqui da edificação”).","É o desenho de um imóvel, podendo representar a localização de um terreno ou o projeto de uma edificação e suas respectivas características.",É o projeto de um imóvel.
Averbação,"A averbação do imóvel se refere à um histórico de todas as mudanças ocorridas em um imóvel ou na condição dos proprietários devidamente formalizadas em sua matrícula, sendo elas reformas, contratos de locação e até mesmo mudança do estado civil dos proprietários.","É onde constam as modificações, as adequações, as novas construções ou as reformas estruturais que o imóvel venha a sofrer após seu registro.",É a formalização das alterações do registro do imóvel.
Unidade imobiliária autônoma,"Considera-se unidade imobilária autônoma aquela que possui acesso independente e que, pelas suas características, pode ter utilização desvinculada das demais unidades do lote. Cada unidade autônoma possui uma inscrição imobiliária própria.","É uma unidade que tenha acesso independente e possa ser desvinculada das demais unidades do lote, tendo inscrição imobiliária própria.","É o imóvel de uso independente, a que se atribui um inscrição imobiliária individualizada."
Desmembramento,"Considera-se desmembramento a divisão de uma área maior em duas ou mais áreas menores, aprovada pelo Poder Público e registrada em cartório.",É a divisão de terrenos de forma regular.,Divisão de terrenos legalizada junto ao Poder Público.
Remembramento,Considera-se remembramento a fusão de dois ou mais lotes para formação de novos lotes.,É a junção de dois ou mais terrenos regularizados para a formação de novos terrenos.,É a junção de dois ou mais terrenos.
Gleba,"Considera-se gleba uma porção de terra de grande porte (com área igual ou superior a 5.000 m²), que não foi objeto de parcelamento.",É um terreno de grandes dimensões e que ainda não foi loteado.,Terreno não loteado.
Imposto Sobre Serviços de Qualquer Natureza,"O Imposto sobre serviços de qualquer natureza tem como fato gerador a prestação de serviços constantes da lista do Anexo III da Lei Municipal n° 2.597/2008, ainda que esses não se constituam como atividade preponderante do prestador.",É um imposto cobrado sobre os serviços prestados pelas empresas e pelas pessoas.,Imposto cobrado sobre serviços prestados.
Prestação de serviços,"Prestação de serviço é o oferecimento de uma utilidade para outrem, a partir de um conjunto de atividades materiais ou imateriais, prestadas com habitualidade e intuito de lucro, podendo estar conjugada ou não com a entrega de bens ao tomador.",A prestação de serviços é a execução de um trabalho contratado por terceiros.,Trabalho feito por pessoa ou empresa que gere utilidade para alguém.
Prestador de serviços,Prestador de serviços é o contribuinte que exerce determinadas atividades sujeitas à incidência do ISSQN.,Prestador de serviços é a pessoa física ou jurídica que realiza algum tipo de serviço em troca de remuneração financeira.,Pessoa ou empresa que realiza suas atividades sem vínculo empregatício.
Tomador de serviços,O tomador de serviços é aquele que contrata os serviços ou aquele a quem a prestação dos serviços é destinada.,"O tomador de serviços é quem contrata e recebe o serviço, o destinatário da produção ou execução do que foi adquirido ou contratado.",Pessoa ou empresa que usa o serviço.
Fato gerador,"O fato gerador é uma situação definida em lei que dará origem a uma obrigação tributária no exato momento da sua ocorrência de acordo com a previsão legal. Dessa forma, a ocorrência do fato gerador traz à tona a exigência do pagamento de um tributo ou impõe a prática ou a abstenção de ato.","Fato gerador é a situação que, quando praticada por determinada pessoa, impõe a ela a obrigação de pagar um tributo.",Tudo aquilo que deu origem à obrigação de pagar um tributo ou cumprir uma obrigação ao governo.
Obrigação tributária,"A obrigação tributária consiste na relação jurídico-tributária que tem no pólo ativo (credor) um ente político (União, Estado, DF ou Município) ou outra pessoa jurídica de direito público a quem tenha sido delegada a capacitade ativa e no pólo passivo um particular obrigado ao cumprimento da obrigação.","Obrigação tributária é uma relação jurídica entre um credor e um devedor, que tem sua origem a partir do momento em que se concretiza o fato gerador.",A imposição de pagar um tributo.
Obrigação tributária principal,A obrigação tributária principal tem por objeto o pagamento do tributo ou penalidade pecuniária.,A obrigação é principal quando a pessoa deve fazer o pagamento de tributo ou multa em dinheiro.,Obrigação de pagar um tributo ou multa.
Obrigação tributária acessória,"A obrigação tributária acessória consiste em ação ou omissão, ou seja, na obrigação de fazer ou não fazer, sempre no interesse da arrecadação ou fiscalização dos tributos.","A obrigação é acessória quando a prestação a ser cumprida é a de fazer ou não fazer alguma coisa, ou permitir que ela seja feita pelo Fisco.",Obrigação de fazer ou não fazer algo por determinação do governo.
Lançamento,"O lançamento é o procedimento administrativo tendente a verificar a ocorrência do fato gerador da obrigação correspondente, determinar a matéria tributável, calcular o montante do tributo devido, identificar o sujeito passivo e, sendo caso, propor a aplicação da penalidade cabível.",O lançamento tributário é a forma como é calculado o valor do imposto e é identificado quem deve pagá-lo.,A forma pela qual o governo constitui o crédito tributário.
Crédito Tributário,"O crédito tributário decorre da obrigação principal e tem a mesma natureza desta (art. 139, Código Tributário Nacional). É constituído pelo lançamento e consiste na obrigação tributária exigível, passível de cobrança.","O crédito tributário é o pagamento a que o Governo tem direito de receber, seja de pessoa física ou de pessoa jurídica.",Dinheiro devido ao governo.
Contribuinte do Imposto sobre Serviços,"O contribuinte do Imposto sobre Serviços é o prestador do serviço e, em regra, é quem estará obrigado a efetuar o recolhimento do imposto.",O contribuinte do ISS é a empresa ou pessoa que realiza o serviço contratado.,Pessoa ou empresa que presta o serviço.
Responsavel Tributário,"O responsável tributário é aquele que, mesmo não se constituindo de contribuinte, relaciona-se indiretamente com o fato gerador e passa à condição de sujeito passivo em razão de previsão legal.",O responsável tributário é o responsável pelo pagamento do imposto por definição legal.,Pessoa ou empresa que recolhe o ISS em substituição ao contribuinte.
Profissional autônomo,"Pessoa física que presta serviço sob a forma de trabalho pessoal do próprio contribuinte e com o auxílio de, no máximo, dois empregados sem a mesma habilitação do empregador.",Profissional autônomo é um profissional sem qualquer vínculo empregatício que trabalha de forma independente e não é funcionário de nenhuma empresa,"Pessoa que trabalha de forma independente, sem vínculo com empresas."
Sociedade profissional,"São as sociedades formadas por pessoas físicas, com a mesma formação acadêmica, que prestam serviços de forma pessoal, em nome da sociedade.",Sociedade profissional é um conjunto de profissionais que prestam um serviço de forma conjunta.,Grupo de pessoas que presta um serviço.
Simples Nacional,"O Simples Nacional (Regime Especial Unificado de Arrecadação de Tributos e Contribuições devidos pelas Microempresas e Empresas de Pequeno Porte) é um regime tributário diferenciado, simplificado e favorecido para as microempresas e empresas de pequeno porte.",O Simples Nacional é um sistema de cobrança de impostos simplificado para micro e pequenas empresas.,Forma simplificada para pequenas e micro empresas pagarem seus impostos.
Microempreendedor Individual,"O Microempreendedor Individual – MEI – é a pessoa que trabalha por conta própria e que se legaliza como pequeno empresário, sendo necessário faturar até R$ 81.000,00 por ano.",O Microempreendedor Individual – MEI é a pessoa que trabalha como uma pequena empresária.,Pessoa que tem um pequeno negócio.
Inscrição Municipal,"A inscrição compreende necessariamente o cadastramento no sistema eletrônico de emissão de notas fiscais, daquele obrigado a emitir os documentos, sendo considerado como não inscrito aquele que não o fizer.",A inscrição municipal é o cadastramento na prefeitura para obter o número de identificação municipal.,Identificação do estabelecimento (negócio) no Município.
Nota Fiscal de Serviços,A Nota Fiscal de Serviços é um documento fiscal que tem o objetivo de registrar a operação de prestação de serviços entre duas partes.,A Nota Fiscal de Serviços é um documento oficial que registra os serviços da empresa.,Documento que registra os serviços prestados.
Recibo Provisório de Serviços,"O Recibo Provisório de Serviços – RPS – é o documento a ser utilizado pelo contribuinte em caso de impedimento excepcional da emissão on-line da Nota Fiscal de Serviços Eletrônica ou quando o volume de notas fiscais a serem emitidas for muito grande, tornando a operação inviável.
Em momento posterior, o RPS deve ser convertido em Nota Fiscal de Serviços.","O Recibo Provisório de Serviços – RPS é um documento que tem como função substituir a Nota Fiscal de Serviços em casos emergenciais, devendo ser convertido em Nota Fiscal de Serviços.",Documento que substitui a Nota Fiscal de Serviços temporariamente.
Declaração de Serviços Recebidos,"Os prestadores de serviços autorizados a emitir NFS-e e os sujeitos passivos considerados como responsáveis tributários, nos termos do Código Tributário do Município de Niterói, devem declarar os serviços tomados de prestadores não emitentes de NFS-e de Niterói.",Declaração feita por quem recebe o serviço feito por prestadores que não possuem inscrição municipal em Niterói.,Declaração de serviços recebidos.
Não incidência,"A não incidência ocorre sempre que não for possível enquadrar, de acordo com a legislação, determinada situação como passível de tributação ou quando a lei a determinar expressamente.",Quando não há ato ou fato que gere a obrigação de pagar o tributo.,Quando o imposto não é cobrado por razões legais.
Imunidade,A imunidade é uma hipótese de não incidência tributária constitucionalmente qualificada.,Quando há proteção tributária por determinação da Constituição Federal.,Quando o imposto não é cobrado por ordem da Constituição Federal.
Isenção,"A isenção é definida como dispensa legal do pagamento de tributo, sendo hipótese de exclusão do crédito tributário, de acordo com o Código Tributário Nacional. Sendo assim, apesar do ente tributante ter a competência para instituir determinado tributo, através de uma lei específica ele opta pela dispensa do pagamento em determinadas situações.",Quando há dispensa legal de cobrar imposto mesmo que exista o ato ou fato que gere a obrigação.,Quando a lei dispensa o pagamento de imposto.
Imposto sobre a Transmissão de Bens e Imóveis,"O Imposto tem como fato gerador a realização por ato intervivos, a título oneroso, de qualquer dos seguintes negócios jurídicos:

I – a transmissão da propriedade ou do domínio útil de bens imóveis por natureza ou por acessão física, como definidos na Lei Civil;

II – a transmissão de direitos reais sobre imóvel, exceto os de garantia;

III – a cessão de direitos relativos às transmissões referidas nos incisos anteriores.","É um imposto cobrado na realização de transferências de imóveis entre pessoas vivas. O Imposto funciona nos casos de transmissão de propriedade, de direitos sobre o imóvel, bem como a cessão deles.",Imposto cobrado na transferência de imóveis entre pessoas vivas.
Título Oneroso,"Relação jurídica de que resultam obrigações ou encargos que demonstrem obrigações por parte de ambos os acordantes, contratantes, celebrantes.",Relação jurídica que cria obrigações de ambas as partes acordantes.,Documento que traz benefício e deveres para as partes.
Ato intervivos,São atos jurídicos efetivados entre pessoas vivas.,Ações relacionadas à justiça que ocorrem entre pessoas vivas.,O que ocorre entre pessoas vivas.
Mutação Patrimonial,"Mudanças, em natureza e valor, havidas no Patrimônio Líquido da pessoa física ou jurídica.",Alteração no patrimônio da pessoa física ou jurídica.,Mudanças nos bens da pessoa física ou jurídica.
Dação em Pagamento,"Acordo convencionado entre credor e devedor, onde o credor pode consentir em receber prestação diversa da que lhe é devida.","Acordo entre as partes que permite que a dívida seja paga de outra forma.

Ex.: Oferecer um bem para pagar uma dívida em dinheiro.",Substituição da forma de pagamento.
Permuta,"Troca de um bem com valor equivalente em um imóvel, não exigindo que o pagamento seja feito em dinheiro. É possível que seja feita a complementação dos valores, caso o bem a ser trocado tenha valor inferior ao pedido no imóvel.","Troca de bens que não envolve dinheiro.

Ex.: Trocar uma casa por um apartamento.",Troca de coisas entre seus respectivos donos.
Arrematação,Ato processual de aquisição de bens que são levados à venda por hasta pública. Acontece quando um terceiro adquire o bem penhorado.,Compra de um bem em leilão feita por outra pessoa.,Compra de bens em leilão.
Adjudicação,Ato processual de aquisição de bens que são levados à venda por hasta pública. Acontece quando o credor adquire o bem.,Compra de um bem em leilão feita pela pessoa a quem se devia.,Dar posse e propriedade de um bem a uma pessoa.
"Hasta pública, leilão ou praça","Forma de expropriação de bens, próprias da fase de execução, que têm como finalidade satisfazer o direito do credor, sendo hasta pública o gênero e praça ou leilão as espécies.

Leilão é a hasta pública destinada aos bens móveis e praça é a hasta pública destinada aos bens imóveis.","Hasta pública é a ação do poder público de tomar a propriedade de alguém que está devendo.

O leilão é a hasta pública de bens móveis.
A praça é a hasta pública de bens imóveis.",Venda pública de bens.
Tornas ou reposições,"Ocorre quando, nas partilhas, por inventário causa mortis, separação judicial ou divórcio, herdeiro ou cônjuge recebem direitos de valor excedente aos respectivos quinhões, sendo devido o imposto de doação, se não houver compensação financeira, e o ITBI no caso de compensação pecuniária, e se tiver imóvel como objeto, por caracterizar ato oneroso.",Reposição em dinheiro ou compensação com bens de outra natureza para igualar a partilha.,Ato de repôr a desigualdade na partilha.
Instituição de fideicomisso,"Espécie de substituição testamentária consubstanciada na atribuição, pelo testador, da propriedade plena de determinado bem a herdeiro ou legatário seu, denominado “fiduciário”, com a imposição da obrigação de, por sua morte, a certo tempo, ou sob condição pré-determinada, transmiti-la a outrem, qualificado fideicomissário.","Estipula a última vontade do testador a transmitir a outra pessoa, indicada por ele, sua herança ou legado.",Herança ou legado transmitido a alguém pelo testamento.
Enfiteuse e Subenfiteuse,"Direito real, transmissível por ato entre vivos ou por disposição de última vontade, por meio do qual o proprietário atribuía perpetuamente a outrem o domínio útil de sua propriedade. A título de sinalagma o enfiteuta deverá pagar ao senhorio um foro anual.","A enfiteuse consiste em uma permissão do proprietário de entregar a outra pessoa todos os direitos sobre o imóvel. Assim, essa pessoa passa a ter domínio útil do imóvel mediante pagamento de uma pensão ou foro ao proprietário.",Transferência do domínio útil sobre o imóvel para outra pessoa mediante pagamento.
Instituição de usufruto,"O direito de usufruto se dá quando o proprietário concede, mediante atos inter vivos ou causa mortis, o usufruto a um indivíduo, conservando a nua-propriedade.","Capacidade de posse, uso, administração e percepção dos frutos de determinado bem.",Uso de um bem ainda que não seu.
Instituição de uso,"O direito de uso é um direito real menor, que consiste na faculdade de se servir de certa coisa, pertencente a outro, e haver os respectivos frutos, na medida das necessidades, quer do titular, quer da sua família.",Capacidade de usar da coisa e perceber seus frutos quanto exigir as necessidades suas e de sua família.,"Uso de um bem ainda que não seu, mas de forma limitada."
Instituição de habitação,"O direito de habitação se dá ao cônjuge sobrevivente, qualquer que seja o regime de bens, que será assegurado, sem prejuízo da participação que lhe caiba na herança, o direito relativo ao imóvel destinado à residência da família, desde que seja o único daquela natureza a inventariar.","Direito dado ao cônjuge sobrevivente, sendo este o único a inventariar o imóvel.",Permissão de habitação do imóvel pelo cônjuge sobrevivente.
Cessão de direitos,"Instrumento através do qual se opera a transmissão de direitos sobre determinado bem. Por meio dela, o vendedor, conhecido como cedente, repassa ao comprador, denominado cessionário, os direito sobre o bem objeto da cessão, que poderá ser móvel ou imóvel.","A cessão de direitos é a transmissão de direitos de um bem. O vendedor vai repassar ao comprador o direito sobre o bem em questão, que pode ser móvel ou imóvel.",Transmissão de direitos do imóvel para outra pessoa.
Usucapião,"Forma originária de aquisição do direito de propriedade sobre um bem móvel ou imóvel em função de haver utilizado tal bem por determinado lapso temporal, contínua e incontestadamente, como se fosse o real proprietário desse bem.","É a aquisição de direitos de um bem por uma pessoa que tenha utilizado tal bem por um período de tempo contínuo e incontestado, como se fosse o real proprietário.",Quando uma pessoa que utilizou o imóvel durante um período de tempo adquire direitos sobre esse imóvel.
Acessão física,"Bens imóveis por acessão física são os acréscimos acontecidos em relação a um imóvel pela mão do homem ou por causas naturais, como a construção de uma casa num terreno, ou a formação de nova ilha num rio.",São alterações que surgem no imóvel a partir de modificações realizadas por causas humanas ou naturais.,Mudanças no imóvel por causas humanas ou naturais
Opção de vendas,"Documento pelo qual o proprietário concede o direito de aquisição do imóvel para um terceiro, para que, em determinado prazo, esse manifeste sua vontade de aquisição do bem.",Documento concedendo direito de compra a outra pessoa em determinado prazo.,Documento de permissão de compra de um imóvel.
Herança,Totalidade ou parte ideal dos bens deixados pelo falecido.,Bens ou partes dos bens deixados por uma pessoa falecida.,Bens deixados por alguém que morreu.
Legado,"Bem determinado ou um conjunto de bens determinados, devidamente individualizados em testamento, deixado a uma ou mais pessoas, podendo ser parente ou não, ao que se dá o nome de legatário.","Um determinado bem ou conjunto deixados em testamento para uma ou mais pessoas, que podem ser ou não parentes do falecido.",Bem específico deixado em testamento para outras pessoas.
Fusão de pessoa jurídica,"Operação pela qual se unem duas ou mais sociedades para formar sociedade nova, que lhes sucederá em todos os direitos e obrigações.","Quando duas pessoas jurídicas distintas se juntam para criar uma nova, deixando de existir as duas individualmente.",Junção de duas pessoas jurídicas para a criação de uma nova.
Incorporação de pessoa jurídica,"Operação pela qual uma ou mais sociedades são absorvidas por outra, que lhes sucede em todos os direitos e obrigações.","Quando uma pessoa jurídica adquire outra, que deixa de existir e passa a virar patrimônio daquela que a comprou.",Quando uma pessoa jurídica adquire outra.
Cisão de pessoa jurídica,"Operação pela qual a companhia transfere parcelas do seu patrimônio para uma ou mais sociedades, constituídas para esse fim ou já existentes, extinguindo-se a companhia cindida, se houver versão de todo o seu patrimônio, ou dividindo-se o seu capital, se parcial a cisão.","Quando uma determinada pessoa jurídica é dividida em outra(s), podendo deixar de existir.",Divisão de uma pessoa jurídica em mais de uma.
Extinção de pessoa jurídica,"A extinção da firma individual ou de sociedade mercantil é o término da sua existência; é o
perecimento da organização ditada pela desvinculação dos elementos humanos e materiais que dela faziam parte. Dessa despersonalização do ente jurídico decorre a baixa dos respectivos registros, inscrições e matrículas nos órgãos competentes.",Quando uma pessoa jurídica deixa de existir.,Fim de uma pessoa jurídica.
Promessa de venda ou de compra de imóvel,"Espécie de contrato através do qual uma pessoa, física ou jurídica, denominada promitente ou compromitente vendedora, se obriga a vender a outra, denominada promissária ou compromissária (ou promitente) compradora, bem imóvel por preço, condições e modos pactuados.","Contrato onde uma empresa ou pessoa se obriga a vender a terceiros um bem imóvel com preço, condições e modos combinados.",Acordo de venda de imóvel por empresa ou pessoa.
Construção em terreno alheio,Edificar em terreno pertecente a terceiros.,Construir em um terreno que pertence a outra pessoa.,Construção em terreno que não é seu.
Translação,"Transferência do ônus da carga tributária, isto é, a repercussão econômica do tributo a terceiros. Para a sua ocorrência, se faz necessária a existência de dois contribuintes: aquele que repercute o ônus tributário e o percutido, que suporta o ônus financeiro.",Transferência do dever de pagar o imposto de uma pessoa para outra.,Transferir a responsabilidade de algo para alguém.
Preleção,Direito de preferência que tem o vendedor de um bem no caso do comprador querer vendê-lo após a sua aquisição.,Direito preferencial que o indivíduo possui de poder comprar seu antigo imóvel.,Direito do vendedor de comprar imóvel que já foi seu.
Retrocessão,"Quando o imóvel expropriado para fins de necessidade ou utilidade pública, ou por interesse social, não tem o destino para que se desapropriou, ou não é utilizada em obras ou serviços públicos, caberá expropriado direito de preferência, pelo preço atual da coisa.",O antigo proprietário de um imóvel pode recuperar seu bem desapropriado pelo preço da indenização atualizado.,Retorno de um imóvel apropriado pelo governo ao antigo dono pelo preço atualizado.
Retrovenda,"O vendedor de coisa imóvel pode reservar-se o direito de recobrá-la no prazo máximo de decadência de três anos, restituindo o preço recebido e reembolsando as despesas do comprador, inclusive as que, durante o período de resgate, se efetuaram com a sua autorização escrita, ou para a realização de benfeitorias necessárias.","É um acordo inserido no contrato de compra e venda do bem imóvel. É estabelecido no contrato um prazo de arrependimento da venda realizada e, nesse caso, o vendedor precisa devolver ao comprador a quantia paga no momento da venda e as despesas do comprador no período.","Quando, no ato de compra e venda, se estebelece um prazo de devolução do imóvel e do valor do que foi comprado e das despesas no período de utilização."
Cota-parte,"Quota ou parte que cabe a cada proprietário sobre as coisas comuns, expressa sob forma decimal ou ordinária.",Parte de cada proprietário sobre suas coisas.,Parte que cada um deve pagar ou receber na repartição de um bem.
Imissão na posse do imóvel,Ato judicial que confere ao interessado a posse de determinado bem a que faz jus e da qual está privado.,É a ação que confere ao interessado a posse de determinado bem que ele tenha direito mas está privado de usufruir.,"Posse do imóvel a alguém que tenha direito sobre ele, mas que está impedido de utilizar."
Distrato,Rescisão do contrato.,Ação de encerrar um contrato.,Quando um contrato é desfeito pelas partes
Atos onerosos,"Aqueles dos quais resultam a obrigação, responsabilidade ou contraprestação.","Ato que diz respeito sobre as vantagens, obrigações e responsabilidades dos envolvidos na compra e venda de um bem.",Determina as condições dos envolvidos na compra e venda de um bem.
Arrendamento mercantil,"Negócio jurídico estabelecido entre uma pessoa jurídica denominada arrendadora, a qual concede um bem a uma arrendatária, pessoa física ou jurídica, a fim de utilização própria desta. Também conhecido por “leasing”.","Negócio feito entre uma empresa e uma outra empresa ou pessoa, onde se concede a utilização de um bem.",Acordo entre uma empresa e outra empresa ou pessoa para a utilização de um bem.
Receita operacional,"Receita proveniente do objeto de exploração da empresa ou de sua atividade principal, como venda de produtos principais, mercadorias ou serviços.",Corresponde aos recursos gerados pela atividade principal de uma empresa.,Recursos gerados pela empresa em sua atividade fim.
Nua-propriedade,"Propriedade que não é plena porque o dono está despojado do gozo do bem devido à incidência de ônus de direito real, como o usufruto.",Quando o direito de usufruto da propriedade é transmitido gratuitamente a outra pessoa.,Quando uma pessoa possui algo que está sendo usado por outra.
Quinhão hereditário,"Porção que cada pessoa envolvida no testamento receberá de determinada coisa, ou seja, a parte da herança que cabe a cada um dos herdeiros.",Parte da herança que cada pessoa envolvida no testamento de alguém receberá de determinado bem.,Divisão da herança de cada pessoa que está no testamento.
Meação conjugal,"Designa a metade ideal do patrimônio comum do casal, a que faz jus cada um dos cônjuges.",Se refere a metade dos bens comuns do patrimônio do casal.,Metade do que o casal possui em comunhão.
Lavratura,"Ação de lavrar documentos com a interferência de um funcionário público ou de um serventuário e, algumas vezes, de um juiz.","Ação de redigir um documento com a participação de um funcionário público, de um serventuário ou de um juiz.","Documento elaborado por um funcionário público, um serventuário ou um juiz."
Acréscimos moratórios,Penalidades que um credor aplica sobre o valor de um determinado título de pagamento.,Acréscimo ao valor pago em razão de atraso.,Multa por atraso.
Incorporação de bens imóveis,"Atividade exercida com o intuito de promover e realizar a construção, para alienação total ou parcial, de edificações ou conjunto de edificações compostas de unidades autônomas.",Construção de edificações ou conjuntos de edificações compostas de unidades autônomas que podem ser transferidas total ou parcialmente a alguém.,Construção de prédios que possuam unidades que serão compradas ou alugadas por outras pessoas.
Adquirente,"Quem ou aquele que se torna proprietário de um bem, móvel ou imóvel, através de venda, troca, herança, doação ou qualquer outro meio legal.",É o contribuinte do ITBI.,É o cidadão que compra um bem móvel ou imóvel.
